2024-01-19 09:49:31.202566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.203567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.204567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.205567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.206587 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.207570 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.208570 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.209568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.209568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.210569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.211567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.212566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.212566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.213566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.214815 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.216568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.217568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.218566 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.219567 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.221566 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.223570 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.224568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.225568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.226567 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.227567 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.228566 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.230586 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.231571 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.232570 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.233567 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.234566 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.235565 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.236566 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.238568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.239568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.240567 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.241566 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.243567 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.244567 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.245568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.246567 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.248568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.249568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.250568 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.251570 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.252566 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.253569 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.254567 - idCapteur: controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.256571 - idCapteur: bylabel, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.257568 - idCapteur: bylabel, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.258567 - idCapteur: bylabel, x: None, y: None, z: None, orientation: None, color: None
