idCapteur: dwm1001-38, x: 5.339, y: 8.565, z: 2.65, orientation: 270.0, color:  TEST! 
idCapteur: dwm1001-37, x: 4.339, y: 8.565, z: 2.65, orientation: 270.0, color:  TEST! 
idCapteur: dwm1001-35, x: 3.339, y: 8.565, z: 2.65, orientation: 270.0, color:  TEST! 
idCapteur: dwm1001-34, x: 2.339, y: 8.565, z: 2.65, orientation: 270.0, color:  TEST! 
idCapteur: dwm1001-33, x: 1.339, y: 8.565, z: 2.65, orientation: 270.0, color:  TEST! 
idCapteur: dwm1001-10, x: 0.734, y: -2.438, z: 2.65, orientation: 90.0, color:  TEST! 
idCapteur: dwm1001-9, x: -4.005, y: -1.674, z: 2.65, orientation: 0.0, color:  TEST! 
idCapteur: dwm1001-6, x: -3.86, y: 3.484, z: 2.65, orientation: 0.0, color:  TEST! 
idCapteur: dwm1001-5, x: -0.591, y: 3.487, z: 2.65, orientation: 270.0, color:  TEST! 
idCapteur: dwm1001-2, x: -3.132, y: 4.339, z: 2.65, orientation: 0.0, color:  TEST! 
idCapteur: dwm1001-1, x: -3.962, y: 7.931, z: 2.65, orientation: 270.0, color:  TEST! 
idCapteur: dwm1001-62, x: 8.237, y: 2.395, z: 2.65, orientation: 0.0, color:  TEST! 
idCapteur: dwm1001-61, x: 8.112, y: 5.613, z: 2.65, orientation: 90.0, color:  TEST! 
idCapteur: dwm1001-74, x: 11.442, y: 4.9, z: 2.65, orientation: 0.0, color:  TEST! 
idCapteur: dwm1001-73, x: 11.442, y: 9.249, z: 2.65, orientation: 0.0, color:  TEST! 
idCapteur: dwm1001-70, x: 15.204, y: 7.775, z: 2.65, orientation: 180.0, color:  TEST! 
idCapteur: dwm1001-69, x: 15.312, y: 4.93, z: 2.65, orientation: 180.0, color:  TEST! 
idCapteur: dwm1001-94, x: 17.925, y: 1.714, z: 2.65, orientation: 270.0, color:  TEST! 
idCapteur: dwm1001-93, x: 17.917, y: -2.415, z: 2.65, orientation: 180.0, color:  TEST! 
idCapteur: dwm1001-89, x: 14.85, y: -2.715, z: 2.65, orientation: 180.0, color:  TEST! 
idCapteur: dwm1001-85, x: 12.137, y: 1.078, z: 2.65, orientation: 0.0, color:  TEST! 
idCapteur: dwm1001-81, x: 11.204, y: -1.677, z: 2.65, orientation: 90.0, color:  TEST! 
idCapteur: dwm1001-77, x: 10.357, y: 0.481, z: 2.65, orientation: 270.0, color:  TEST! 
idCapteur: dwm1001-50, x: 2.12, y: 2.793, z: 2.65, orientation: 119.0, color: FF00FF TEST! 
idCapteur: dwm1001-45, x: 1.311, y: 8.989, z: 2.65, orientation: 270.0, color: 0000FF TEST! 
idCapteur: dwm1001-29, x: 7.382, y: 8.565, z: 2.653, orientation: 180.0, color: 00FF00 TEST! 
idCapteur: dwm1001-55, x: 6.352, y: 6.959, z: 2.663, orientation: 90.0, color: FF0000 TEST! 
idCapteur: dwm1001-54, x: 5.092, y: 6.587, z: 2.658, orientation: 180.0, color: 00FFFF TEST! 
idCapteur: dwm1001-25, x: 5.071, y: 5.29, z: 2.625, orientation: 180.0, color: FF0000 TEST! 
idCapteur: dwm1001-53, x: 5.057, y: 2.714, z: 2.65, orientation: 180.0, color: 00FF00 TEST! 
idCapteur: dwm1001-21, x: 4.358, y: 1.331, z: 2.623, orientation: 90.0, color: 0000FF TEST! 
idCapteur: dwm1001-19, x: 1.687, y: 1.327, z: 2.652, orientation: 90.0, color: FFFF00 TEST! 
idCapteur: dwm1001-18, x: 0.773, y: 0.364, z: 2.631, orientation: 180.0, color: FF00FF TEST! 
